sent1,sent2,lemma,ground_truth
Previous experiences are obviously of great importance for the qualitative and quantitative emotional response .,Qualitative observations were made and high-speed motion pictures were taken to study flow phenomena in the arc at various mass flow velocities .,qualitative,F
"He grabbed her by the shoulders and went down on one knee , taking her weight so that some of the wind was driven out of him .",She was still laughing when I grabbed her and started rolling her on the bed .,grab,T
"I remember Ernest Bloch in the foyer , shouting in his high-pitched voice : `` it may be a tour de force , mais mon Dieu , can anyone take this music seriously '' ?","They slept - Mynheer with a marvelously high-pitched snoring , the damn seahorse ivory teeth watching him from a bedside table .",high-pitched,T
"The lower portion permits comparison of maturity levels of short and round bones predominantly , since only two long bones are included in Hand and Wrist as a region .","The growth center depicted here , in the distal phalanx of the second finger , is listed as the fifth of those in the seven short bones .",short_bone,F
His eyes had the same dreadful rigid stare as Dr. Grimesby Roylott 's when he was found before his open safe wearing the speckled band .,Wilson stared at her .,stare,T
"He stalked into the water and fell heavily over the side of the flat-bottomed barge , his weight nearly swamping the craft .","`` I do n't think I 've reached the point , yet , where I can say I know everything I ought to know about the craft .",craft,T
For weeks he had been saying that Hudson 's idea of sailing through to Java was absurd .,"The most infamous of all was launched by the explosion of the island of Krakatoa in 1883 ; it raced across the Pacific at 300 miles an hour , devastated the coasts of Java and Sumatra with waves 100 to 130 feet high , and pounded the shore as far away as San Francisco .",java,F
"I went to a retrospective of his work when I was eighteen , and I thought he was a contemporary of Cezanne 's '' .","The Orioles tonight retained the distinction of being the only winless team among the eighteen Major-League clubs as they dropped their sixth straight spring exhibition decision , this one to the Kansas City Athletics by a score of 5 to 3 .",eighteen,F
Phil sighed and pulled the wet sweatshirt over his head .,He cleared his throat and wet his lips .,wet,T
Its spokesmen insist that there has not been time enough to institute reforms in military and economic aid policies in the critical areas .,The Secretary shall make reports to the President and the Congress at the beginning of each regular session of the action taken or instituted by him under the provisions of this Act and of prospective action during the ensuing year .,institute,T
"The expression was his trade-mark , his open sesame to good luck , and his prayer that pilot and plane would always return .","She was forty-nine at this time , a lanky woman of breeding with an austere , narrow face which had the distinction of a steeple or some architecture that had been designed long ago for a stubborn sort of prayer .",prayer,T
Inspect the site in the field during the time of the year when the area will be most heavily used for recreation .,"Since the Santo Spirito hospital had taken only men , he had had no experience in the study of female anatomy ; but he had sketched the women of Tuscany in their fields and homes .",field,T
"Beginning in 1960 , the matching requirements for the base allotment are being adjusted ( upward or downward , as required ) 25 % a year , so that by 1963 the entire support allotment will be matched on the basis of a 40 % pivot State share , with maximum and minimum State shares of 50 % and 30 % , respectively .","This gives a wide flare to the pecs , causing them to flow dramatically upward into deltoids and dramatically downward into the serratus and lats .",downward,T
"Further , the gland is able to re-use a larger fraction of the thyroid hormone de-iodinated peripherally .","Since the circulating thyroid hormones are the amino acids thyroxine and tri-iodothyronine ( cf. Section C ) , it is clear that some mechanism must exist in the thyroid gland for their release from proteins before secretion .",thyroid_hormone,F
"A couple decks for me , Mr. Skyros - and ten twelve to sell , see , I like to have a little ready cash '' .","It 's inevitable in this case , for the couple will be separated for , at the least , forty years .",couple,F
"My lovely caller - Joyce Holland was her name - had previously done three filmed commercials for ZING , and this evening , the fourth , a super production , had been filmed at the home of Louis Thor .","This evening , they were pushed in from the breakfast room , with odds and ends of dessert distributed over them .",this_evening,T
Jess wasted a few seconds trying to yank them loose .,"I have been loath to believe that any nation , even our present enemies , could or would be willing to loose upon mankind such terrible and inhumane weapons .",loose,T
"At the same time , there was increased reason for a quick meeting lest the Soviet leader , as a result of those episodes , come to a dangerously erroneous conclusion about the West 's ability and determination to resist Communist pressure .","But when to represents to consciousness in that was the moment that I came to , and similarly in that was the moment I came to , there is much stronger stress on to .",come_to,T
"To free the factors of production was a major objective of the rising bourgeoisie , and this objective required that governmental authority - administrative officials and judges - be limited as precisely and explicitly as possible ; that old customs which inhibited trade be abrogated ; that business be free from governmental supervision and notions of morality which might clog the automatic adjustments of the free market ; that obligations of status that were inconsistent with the new politics and the new economics be done away with .","But Thorpe saw also the hardships of pioneer existence , the cultural poverty of the frontier settlements , and the slack morality which abounded in the new regions .",morality,T
"His thirteenth chapter includes many exciting accounts of huge serpents with prodigious strength , but these seem to be given to complete his picture , not to be believed .","Thus in Mary wrote an account of the trip first strong stress on Mary marks Mary as the first in a series of people who wrote accounts of the trip , strong stress on wrote marks the writing as the first of a series of actions of Mary 's concerned with an account of her trip ( about which she may later have made speeches , for example ) , and strong stress on trip makes the trip the first of a series of subjects about which Mary wrote accounts .",account,F
"Areas should be large enough to include the attractions , have ample space for the use of facilities needed , and have room around the edges to protect the values of the area from encroachment by private developments .",Can you share medical facilities and staff with neighboring plants ?,facility,T
"A state of parasympathetic `` tuning '' of the hypothalamus induced experimentally causes not only an increase in the parasympathetic reactivity this structure to direct and reflexly induced stimuli , but leads also to an autonomic reversal : a stimulus acting sympathetically under control conditions elicits in this state of tuning a parasympathetic response !",Thus cortico-fugal discharges induced by topical application of strychnine to a minute area in the neocortex summate with spikes present in the hypothalamus and cause increased convulsive discharges .,hypothalamus,T
The urban land use study carried out by the planning division staff has consisted of identifying and mapping all urban land uses which are of significance to statewide planning .,"There is hereby authorized to be appropriated , out of any money in the Treasury not otherwise appropriated , such sums as may be necessary to enable the Commission to carry out its functions under this Title .",carry_out,T
"In their place came local variations within the common style - tentative , as it were , in Protogeometric products but truly distinct and sharply defined as the Geometric spirit developed .","Nearly twenty-five years before , Captain John Davis had noted , as he sailed near the Arctic Circle , `` a very great gulf , the water whirling and roaring , as it were the meeting of tides '' .",as_it_were,F
"Although the present study was not a direct replication of their investigations , the results do not confirm their conclusion .","As if to confirm his stature , he quickly won three of the first eight tournaments .",confirm,F
`` Chicago and All That Jazz '' may have wound up satisfying neither the confirmed fan nor the inquisitive newcomer .,"In the heat of the summer , the garden solitudes were ours alone ; our elders stayed in the dark house or sat fanning on the front porch .",fan,T
"By means of charts showing wave travel times and depths in the ocean at various locations , it is possible to estimate the rate of approach and probable time of arrival at Hawaii of a tsunami getting under way at any spot in the Pacific .","The revolution was well under way before 700 B.C. , and premonitory signs go back virtually across the century .",underway,T
Two Americans and seven Cubans were executed by firing squads today as Castro military tribunals began decreeing the death penalty for captured invasion forces and suspected collaborators .,"The District Courts , in the framing of equitable decrees , are clothed ' with large discretion to model their judgments to fit the exigencies of the particular case ' .",decree,T
"The cycle of disaster starts the moment they touch any belonging of ours , and dogs them unto the forty-fifth generation .",The men helped them gather their belongings and escorted them to Raton along with three other families desiring to leave .,belongings,F
"They are relentlessly rebuffed on all sides by a waitress , the police , and an intruding government tutor .","Named by Mayor Wagner three years ago to head a committee that included James A. Farley , Bernard Gimbel and Clint Blume , Shea worked relentlessly .",relentlessly,T
"Microscopically , the mucosa of the stomach showed extensive cytolysis and contained large numbers of Gram-negative bacterial rods .",The major training need of a new industrial plant is a short period of pre employment training for a large number of semi-skilled machine operators .,large_number,F
"In all the bitter in-fighting , the squabbles over election procedures , the complicated numbers game that East and West played on the assistant secretaries ' theme , the gentleman from Burma showed himself both as a man of principle and a skilled diplomat .","The appointment of U Thant of Burma as the U.N.'s Acting Secretary General - at this writing , the choice appears to be certain - offers further proof that in politics it is more important to have no influential enemies than to have influential friends .",burma,F
"In other words , the promulgators of the murder plan made clear that physically exterminating the Jews was but an extension of the anti-Semitic measures already operating in every phase of German life , and that the new conspiracy counted on the general anti-Semitism that had made those measures effective , as a readiness for murder .","And then Eichmann was quoted as saying , in non English , that Hitler 's plan to exterminate the Jews was nonsense '' .",exterminate,F
"The highway system is an agency of government , and when it grinds up 40000 Americans every year the government is destroying its own taxpayers , which is obviously a silly thing for any government to do .",He dropped it and carefully ground it to nothing with the sole of his heavy shoe .,grind,T
"Their ham butts , cured in oak-log smoke , were also esteemed when roasted or boiled , and served with this original sauce .","William Wimsatt and Cleanth Brooks , it seems to me , have a penetrating insight into the way in which this control is effected : `` For if we say poetry is to talk of beauty and love ( and yet not aim at exciting erotic emotion or even an emotion of Platonic esteem ) and if it is to talk of anger and murder ( and yet not aim at arousing anger and indignation ) - then it may be that the poetic way of dealing with these emotions will not be any kind of intensification , compounding , or magnification , or any direct assault upon the affections at all .",esteem,F
"It is true that , initially , the task was to remove restrictions that , it was thought , inhibited the free flow of money , goods , and labor ; but even laissez-faire was a conscious policy .",The greatest impact of the matching fund principle has been in initially encouraging the poorest states and school districts to spend enough to obtain their full allocation of outside funds .,initially,T
"The name presumably derives from the French royal house which never learned and never forgot ; since Bourbon whiskey , though of Kentucky origin , is at least as much favored by liberals in the North as by conservatives in the South .","In this sense , authorities believe that all estimates of phony device quackery are conservative .",conservative,T
"All told , they offered a highly confused picture .","This used to be part of every child 's bag of tricks , but few children can do it today ; some are actually incapable of rolling forward and are completely confused when not sitting or standing upright .",confused,T
"Dead fledgling birds , their squashed looking nakedness and the odor of decay that clung to the hand when they had been buried in our graveyard in front of the purple flags .","By comparison , Fritzie and Laura Andrus were quivering fledglings .",fledgling,F
"The `` distributive education '' program operates in a similar way , with arrangements between the school and employers in merchandising fields .","Display merchandising , backed by pre selling through advertising and promotion , will continue to make strides in the sixties .",merchandising,F
The last few years have witnessed what have been perhaps the most rapid advances in military technology in history .,We have already witnessed great changes through mergers and acquisitions in the food industry - at both the manufacturing and retail ends .,witness,F
The `` push '' exercise of this Push-Pull Super-Set is the Bench Press done with elbows well pulled back and with a greater downward stretch of the pectorals not possible with the barbell variation .,"So right away Claude introduced Henri to his famous `` moon '' bench and proceeded to teach him his first Push-Pull Super-Set consisting of the wide grip Straight-Arm Pullover ( the `` pull '' part of the Push-Pull Super-Set ) which dramatically widens the rib cage and strongly affects the muscles of the upper back and chest , and the collar-to-collar Bench Press which specifically works on the chest to build those wide , Reeves-type `` gladiator '' pecs , while stimulating the upper lats and frontal deltoids .",bench_press,F
The face of one block contained a hole 1 16 '' in diameter which led to a manometer for the measurement of the normal pressure .,The cathode consisted of a 1/4 '' diameter thoriated tungsten rod attached to a water cooled copper tube .,diameter,F
"She patronized Greenwich Village artists for awhile , then put some money into a Broadway show which was successful ( terrible , but successful ) .","During the summer , Negroes began quietly patronizing previously segregated restaurants and lunch counters in downtown retail establishments .",patronize,T
How can the vicious circle be broken ?,"If he won n't break , we add to the stress he bears .",break,F
"**f was found to be paramagnetic with three unpaired electron per chromium atom and a molecular susceptibility of **f , where **f .","Since conventional methods are insensitive at the low frequencies of these molecular transitions , the paramagnetic resonance method is being used instead .",paramagnetic,T
"He demonstrated by playing an imaginary piano , doing a staccato passage with a broadly exaggerated attack .","`` The past I leave to historians '' , Felix intoned , demonstrating that he could be pompous as well as happy .",demonstrate,T
"The candles were lighted , and we sat on split bamboo mats among the village notables .","When they were refused entrance to his brother 's house nearby , they smashed down the door , broke the window , and threw lighted clothes wet with kerosene into the room .",lighted,T
"`` Ladies and gentlemen , in place of my regular closing number tonight , I 'd like to sing something of a different nature for you .","The identification of the basic unit of religious organization - the parish or congregation - with a residential area is self defeating in a modern metropolis , for it simply means the closing of an iron trap on the outreach of the Christian fellowship and the transmutation of mission to co-optation .",closing,F
"While Arlen and Mercer collaborated on Hot Nocturne , Mercer worked also with Arthur Schwartz on another film , Navy Blues .","He may be the only song writer ever to have collaborated with a secretary of the U. S. Treasury ; he collaborated on a song with William Hartman Woodin , who was Secretary of the Treasury , 1932 - 33 .",collaborate,F
The dramatic construction of his stories characteristically turns on a situation in which someone is simultaneously compelled and forbidden to love .,"In order to exonerate himself , he is compelled to find the real criminal , who happens to be his girl friend .",compel,T
"La^utner , for his part , `` belonged to the present-day race of small artists , who do not demand the utmost of themselves '' , and the bitter description of the type includes such epithets as `` wretched little poseurs '' , the devastating indictment `` they do not know how to be wretched decently and in order '' , and the somewhat extreme prophecy , so far not fulfilled : `` They will be destroyed '' .",Prosecutor Baird immediately assumed he was hiding out there after the shooting and began preparing an indictment .,indictment,T
"He thought of Simms Purdew snoring on his bunk while Pullen James crouched by the hearth , skirmishing an undershirt for lice , and a wet log sizzled .","I decided I hated the Pedersen kid too , dying in our kitchen while I was away where I could n't watch , dying just to entertain Hans and making me go up snapping steps and down a drafty hall , Pa lumped under the covers at the end like dung covered with snow , snoring and whistling .",snore,F
"When irregularity and variation prevent summarizing , information is written in complete detail .","Even then , a few of the `` less interesting '' questions are edited out and glibly summarized by a commentator .",summarize,T
I praise God for the privilege of being a nurse who has that peace through faith in the Lord Jesus Christ .,"Then the monk praised Yang Shan saying : '' I have come over to China in order to worship Manjucri , and met unexpectedly with Minor Shakya `` , and after giving the master some palm leaves he brought from India , went back through the air .",praise,T
This is the same system as was used in the field sequential color TV system which preceded the present simultaneous system .,"They run their show their way - the Universe has variety , something for everybody - a fact you field workers often miss '' .",field,F
"It grows terribly and unavoidably in power and leaves in its wake a trail of misery , moral disintegration , and destruction .","In Plato 's judgment , the arts play a meaningful role in society only in the education of the young , prior to the full development of their intellectual powers .",power,F
Hotel attendants pulled parked bicycles into the lobby .,"We were off the road , gleaming barbed wire pulling taut .",pull,F
"If these services are to be maintained , the New York Central must have the revenues to make them possible '' .","The causes of the decline of the commuter railroads are many and complex - high taxes , losses of revenue to Government subsidized highway and air carriers , to name but two .",revenue,T
She made General Burnside 's horse 's belly do so funny when it was upside down .,That 's why I only put towels on his chest and belly .,belly,F
Alex nodded to the maid as though nothing unusual were taking place and entered the doctor 's room .,"The other five Slash-B men followed them inside , crowding the small room .",room,F
William Beebe reports 26 inches and 2.4 ounces ( this snake must have been emaciated ) for the length and the weight of a young anaconda from British Guiana .,It is possible that especially large anacondas will prove to belong to subspecies limited to a small area .,anaconda,T
"In the physical sciences , these achievements concern electricity , chemistry , and atomic physics .","The concept of unity , in which positive and negative are attributes of the same force , in which good and evil are relative , ever-changing , and always joined to the same phenomenon - such a concept is still reserved to the physical sciences and to the few who have grasped the history of ideas .",physical_science,F
"They comprise a great variety of scene and interest : grim episodes of war , idyllic interludes , superb canvases of world-shaking events , and delightfully humorous sketches of odd characters .","It has been obvious to the assessors , particularly those in shore communities , that boats comprise the largest category of tangible personal property which they have been unable to reach .",comprise,T
"That is why it is important to invest in comfortable , airy types of shoes .","The apex , the study where Eugene slept , was light and bright and airy and cheerful .",airy,T
"When a dot appears close to the end of the transverse line , the `` moderate '' rating may be further classified according to the position of the dot with respect to the vertical marking denoting the mean age .","You may be sure he marries her in the end and has a fine old knockdown fight with the brother , and that there are plenty of minor scraps along the way to ensure that you understand what the word Donnybrook means .",mean,T
"With the exception of the Roman Catholic and the Orthodox Catholic Churches , most churches make no moral distinction between rhythm and mechanical or chemical contraceptives , allowing the couple free choice .",The Conference called for a vigorous campaign against the open or secret sale of contraceptives .,contraceptive,F
"It will be seen that where the scope is similar , the Athabascan ratios come out somewhat higher ( as indeed they ought to with a total ratio of 2.8 as against 3.5 or 4 : 5 ) except for verbs , where alone the Athabascan ratio is lower .","The protein bound iodine was 6.6 | mg. % , and the radioactive iodine uptake over the thyroid gland was 46 % in 24 hours , with a conversion ratio of 12 % .",ratio,T
"Inside , as soon as Mr. Skopas had disclosed - in a hoarse whisper - the detective 's errand , his family gathered in a huddle , forming a mass of dark flesh on and around a brocaded sofa which stood at one side of a baroque fireplace .","The jobless huddled in the streets outside of employment offices , outside newspaper buildings , in parks , in relief lines , outside government agencies .",huddle,T
"Of course , nationalism has really outlived its usefulness in a country as world oriented as ours , and its continued existence reflects one of the major culture lags of the twentieth century United States .","Yet nationalism has lost few of its charms for the historian , writer or man in the street .",nationalism,F
"By making inroads in the name of law enforcement into the protection which Congress has afforded to the marriage relationship , the Court today continues in the path charted by the recent decision in Wyatt v. United States , 362 U. S. 525 , where the Court held that , under the circumstances of that case , a wife could be compelled to testify against her husband over her objection .","In view of the increasing shortage of usable surface and ground water in many parts of the Nation and the importance of finding new sources of supply to meet its present and future water needs , it is the policy of the Congress to provide for the development of practicable low-cost means for the large-scale production of water of a quality suitable for municipal , industrial , agricultural , and other beneficial consumptive uses from saline water , and for studies and research related thereto .",congress,T
It is obvious enough that linguists in general have been less successful in coping with tone systems than with consonants or vowels .,"Her speech was barren of southernisms ; she was one of Eliot Sparling 's neutralized minorities , adopting the rolling R 's and constricted vowels of Los Angeles .",vowel,F
It seemed to me that my life was destined to be one brilliant failure after another .,"For Helva was destined to be the `` brain '' half of a scout ship , partnered with a man or a woman , whichever she chose , as the mobile half .",destine,F
"For it had turned out , by a further paradox of Cubism , that the means to an illusion of depth and plasticity had now become widely divergent from the means of representation or imaging .","Recently I was struck anew by the divergent approaches , when in the course of one afternoon and evening I listened to no fewer than ten different performances .",divergent,T
A blower may be installed to increase comfort .,Blowers should be operated periodically on a regular schedule .,blower,F
"This deprived him of liberty in Hong Kong , but he told Boats McCafferty that Hong Kong was a book he had read before , and the Navy would always bring him there again , some day .","It 's a matter of boredom , and the subconscious feeling that she is entitled to something , because she 's being deprived of something else '' .",deprive,T
"During all this time Roy continued to paint , first only on weekends , and then , as the family business permitted , for longer periods .","Like many others , he had to work hard , long hours in a struggling family business which , though it was allied to art of a kind - the design and production of engraved seals - bore no relation to the painting of pictures .",family_business,T
"Initially , the flagellated protozoa predominated , but they soon gave way to the free swimming ciliated protozoa .","Each initially contained 1700 ml of buffer ; in the sphere was starting buffer and in the cone was final buffer , 0.50 M in both * * f and Tris , pH 4.1 .",initially,F
"By 1937 he had clarified his intentions to serve his people : `` I have striven for clarity and melodious idiom , but at the same time I have by no means attempted to restrict myself to the accepted methods of harmony and melody .","economic security and cultural opportunities , incisive idioms , social fermentations for a new national ideology - a sympathetic public and a large body of performers especially trained to fulfill his purpose .",idiom,F
"The rice was n't dosed with opium , indeed it had no taste at all , not a grain of salt .","Now wait a minute , she told herself , think about it ; Lucien is not the only person in this house who could have put opium in that coffee .",opium,T
"These groups have varied widely from mere families , primitive , totemic groups , and small modern cults and sects , to the memberships of great denominations , and great , widely dispersed world religions .",She did not move in primitive circles .,primitive,F
`` Precious and I allow each other absolute freedom .,Indeed their achievement scores were somewhat better on an absolute basis although the difference was not significant .,absolute,T
"Since **f is ferromagnetic , we felt that any results obtained from the magnetically contaminated **f would be suspect .","Its primary advantage is that it is a moral choice ; one which , should it fail , will not have contaminated the conscience .",contaminate,F
"The grant , which stretched southward to Lake Traverse - the headwaters of the Red - was made in May , 1811 , and by October of that year a small group of Scots was settling for the winter at York Factory on Hudson Bay .","Within a few years the Scots , engaged in breaking the thick sod and stirring the rich soil of the valley , were joined by a group called Meurons .",scot,F
"When surplus land is not expensive to buy or to keep up , it is usually better to buy it than to buy so small an acreage that the development of adjoining properties might impair the residential value of the farm .",He cannot leave the farm to take work in another locality on short notice ; such a move may mean a loss of capital .,farm,F
"Similarly , a girl who graduates with a good working knowledge of stenography and the use of clerical machines and who is able to get a job at once may wish to improve her skill and knowledge by a year or two of further study in a community college or secretarial school .","This circumstance in the patient 's case plus the fact that his tactual capacity remained basically in sound working order constitutes its exceptional value for the problem at hand since the evidence presented by the authors is overwhelming that , when the patient closed his eyes , he had absolutely no spatial ( that is , third-dimensional ) awareness whatsoever .",working,T
"He imagined they were the kind whose tax returns were never examined ( if they were , they were never penalized ) , whose children had no unhappy romances , whose names never knew scandal .",The record teems with romance and adventure .,romance,F
"He then sold her minerals to cure her kidney ailment , a can of sage `` to make her look like a girl again '' , and an application of plain mud to take her wrinkles away .",These changes were more marked in the atrophic right kidney than in the left .,kidney,T
The effluent was collected through two pipes and discharged to the Blue River through a surface drainage ditch .,The suspended solids discharged in the effluent were found to be the major source of the BOD .,effluent,T
"Generally , your employee will greatly appreciate benefits that protect him during his working life or during retirement .","Under pressure from parents , the majority of Brooklyn College girls major in education since that co-ordinates best with marriage plans - limited graduate study requirement and convenient working hours .",working,T
"The Kremlin 's goal is the isolation and capture , not of Ghana , but of the United States - and this purpose may be served very well by countries that masquerade under a `` neutralist '' mask , yet in fact are dependable auxiliaries of the Soviet Foreign Office .","At the same time , his voice betrayed uncertainty about their being here , and conveyed an appeal to whatever is reasonable , peace-loving , and dependable in everybody .",dependable,F
"The place of religion in the simple , preliterate societies is quite definite ; as a complex it fits into the whole social organization and functions dominantly in every part of it .","Although the inner functions of religion are not of direct significance in social organization , they have important indirect consequences .",social_organization,T
"Thus , moral decision must be entirely deduced backward from the likely eventuality ; it is no longer to be formulated in terms of the nature of present action itself , its intention , and proximate effect or the thing to be done .",Suitable plans range from those that are very easy to develop to those that are difficult to formulate and require borrowing ranging from short-term serial notes to long-term bonds .,formulate,T
- flapped as it ran .,Glendora flapped away .,flap,F
It urged that the next Legislature `` provide enabling funds and re-set the effective date so that an orderly implementation of the law may be effected '' .,Vandiver opened his race for governor in 1958 with a battle in the Legislature against the issuance of $ 50 million worth of additional rural roads bonds proposed by then Gov. Marvin Griffin .,legislature,T
"The horse walked , the reins were slack , the huckster rode with bowed shoulders , his forearms across his knees .","When the hay wagon had gone , and an interval passed , a huckster 's cart might turn the corner .",huckster,F
"Seven hundred miles south of York Factory , at `` the Forks '' of the Red and the Assiniboine , twenty-three men located a settlement in August 1812 .","But neither was the statement empirical , for goodness was not a quality like red or squeaky that could be seen or heard .",red,F
"On the surface of the right kidney there were also 2 yellow , firm , friable raised areas measuring up to 2 cm. in diameter .","Less ambitious freeway plans may be more successful - especially when the roadways and interchanges are raised , allowing for cross access at many points and providing parking areas below the ramp .",raised,F
"She rubbed her eyes and stretched , then sat up , her hands going to her hair .","Before midnight he speeded his heart , resumed normal breathing , ran down his check list , uncurled and sat up .",sit_up,T
"When consciousness deserts the sleeping body and the wakeful world , it continues in the myriad progressions of the ever-present past and future , in a life as vibrant and real as the one left when the body tired and required sleep .","Hereby , the external object viewed by the eyes remains the thing that is seen , not the retinal image , the purpose of which would be to achieve perceptive cooperation by stirring sympathetic impulses in the other sensory centers , motor tensions , associated word symbols , and consciousness .",consciousness,T
"Hercules L. Dousman , fur trader and merchant at Prairie du Chien , contracted to supply Selkirk 's people with some 300 head of cattle , and Alexis Bailly and Francois Labothe were hired as drovers .",The Selkirk settlers had been anticipated in their move southward by British fur traders .,trader,F
"I was shown , instead , a batch of white tickets of the sort handed out , he told me , every morning .","Since Mr. Clark believes firmly that the chewing of hard foods helps develop healthy gums and teeth , raw vegetables and raw whole-wheat grains are handed out with fresh fruit and whole-wheat cookies at snack time in the afternoons .",hand_out,T
"The story opens on the eve of his fifty-third birthday , as he prepares for the two weeks of festivities that are to follow .",( No additional five thousand for each year after Joan 's twenty-first birthday ; Mrs. Meeker had n't got around to taking care of that . ),birthday,F
"Her tanned foot , whose arch swept high and white , pointed artfully toward tapering toes - toes like fingers , whose tips glowed white .",Arch the back upwards to make a bridge .,arch,T
"Obviously , a substance which is permanently or temporarily sorbed on the surface in place of the soil will tend to accelerate this process and effectively push off the greasy soil .","All payments authorized under section 7 of this Title shall be disbursed from the proper fund , as the case may be , and all amounts covered into the Treasury to the credit of the aforesaid funds are hereby permanently appropriated for the making of the payments authorized by section 7 of this Title .",permanently,F
"`` How many is that , Jim '' ? asked Willie at one stage of his excavation project .","The historian can only point out those lines which were major enough to find reflection in our limited evidence , and must hope that future excavations will enrich our understanding .",excavation,T
With all his heart he had loved the Navy and now he must act in accordance with the Navy 's implacable laws .,"And when he did , when he gave to his ship that protection necessary to preserve her honor , he knew he would lose forever the Navy to which he had dedicated his soul .",navy,T
How could supplying Eichmann with a platform on which to maintain that one could collaborate in the murder of millions of Jews without being an anti-Semite contribute to a verdict against anti-Semitism ?,"He may be the only song writer ever to have collaborated with a secretary of the U. S. Treasury ; he collaborated on a song with William Hartman Woodin , who was Secretary of the Treasury , 1932 - 33 .",collaborate,T
"He thought of Simms Purdew , who once had risen at the edge of a cornfield , a maniacal scream on his lips , and swung a clubbed musket like a flail to beat down the swirl of Rebel bayonets about him .","All the while she sat there , her sinewy arms swirled before her chest .",swirl,F
"There was no room for company in the tiny Weaning House ( where the Albright boys always took their brides , till they could get a house and a farm of their own ) .",Hard physical labor and undesirable hours are a part of farm life .,farm,T
"There was a fog , which increased the darkness of the night .","Questions like this , framed in verbal fog , are perhaps the only kind that have ever stumped an experienced politician .",fog,F
"If some future Khrushchev decided to rake up the misdeeds of his revered predecessor , would not the factory workers pass the same resolutions applauding his dispossession ?","The Jewish working girl almost invariably works in an office - in contradistinction to gentile factory workers - and , buttressed by a respectable income , she is likely to dress better and live more expansively than the college student .",factory_worker,T
"The radio radiation of the sun which is reflected from the moon and planets should be negligible compared with their thermal emission at centimeter wave lengths , except possibly at times of exceptional outbursts of solar radio noise .","It is sufficiently small compared with the surface temperature of the anode holder , to make the energy flux radiated from the environment toward the anode holder negligible within the accuracy of the present measurements .",negligible,F
"Once , then - for how many years or how few does not matter - my world was bound round by fences , when I was too small to reach the apple tree bough , to twist my knee over it and pull myself up .","A hay wagon moved slowly along the gutter , the top of it swept by the low boughs of the maple trees , and loose straws were left hanging tangled among the leaves .",bough,T
"Hansen arrived just before nightfall , two hours late , in company with Lee MacPhail ; J. A. W. Iglehart , chairman of the Oriole board of directors , and Public Relations Director Jack Dunn .",Interest rates are determined by the board of directors of the bank with the approval of the Farm Credit Administration .,board_of_directors,F
"These frequencies are amplified and detected by the FM receiver after each burst of transmitted energy and , after the `` pill '' has been calibrated , precise internal pressure indications can be obtained .",She slapped the receiver into its holder and stepped away .,receiver,T
"It is sufficiently small compared with the surface temperature of the anode holder , to make the energy flux radiated from the environment toward the anode holder negligible within the accuracy of the present measurements .",( C ) The kinetic effects are negligible .,negligible,T
"An alternate hatchway entrance , shown on page 25 , would reduce the cost of materials $ 50 to $ 100 .","Microscopically , there were many areas of hypercellularity alternating with areas of hypocellularity .",alternate,F
"When the words are used , we are never sure which of the traditional meanings the user may have in mind , or to what extent his revisions and rejections of former understandings correspond to ours .",The specific instance I have in mind is the Afro-Asian version which has gained prominence only in this second half of the twentieth century .,have_in_mind,F
A completely new insight into living cells and their structure will be possible by use of a new technique which replaces visible light with ultraviolet radiation and combines a microscope with a color - TV system to view the results .,"Many cells , bacteria , and other microorganisms are transparent to visible light and must be stained for microscopic investigation .",visible_light,T
"To demonstrate the soil of his vegetable gardens as it is today , Mr. Clark stooped to scoop up a handful of rich dark earth .","To establish an emotionally meaningful relationship the worker must demonstrate actual or potential helpfulness immediately , preferably within the first interview , by meeting the client 's specific needs .",demonstrate,T
"The extent to which we can persuade the less developed countries to appraise their own resources , to set targets toward which they should be working , to establish in the light of this forward perspective the most urgent priorities for their immediate attention , and to do the other things which they must do to help themselves , all on a realistic long-term basis , will depend importantly on the incentives we place before them .","As a result , he was persuaded out to dinner .",persuade,T
"`` Slice o ' mutton , bhoy '' ? she had queried in her soft guttural .",`` Is that so '' ? he queried .,query,T
"This shelter could be built in regions where water or rock is close to the surface , making it impractical to build an underground shelter .",Rumor had it he slipped two small rocks under each victim 's head as a sort of trademark .,rock,T
But nevertheless it looked respectable .,Poirot and his counterparts are perfectly respectable people ; it is true that they are also extremely dull .,respectable,T
"Altogether he had , since the seizure , the appearance of a boy who overindulged in food and took no exercise .",I 've got to take Danny away from Clayton before I lose him altogether .,altogether,T
"In a book review of `` The Soviet Cultural Offensive '' , he says , `` Long before the State Department organized its bureaucracy into an East-West Contacts Staff in order to wage a cultural counter-offensive within Soviet borders , the sharp cutting-edge of American culture had carved its mark across the Russian steppes , as when the enterprising promoters of ' Porgy and Bess ' overrode the State Department to carry the contemporary ' cultural warfare ' behind the enemy lines .",A heterogeneous people have needed it to attain an element of cultural and political cohesion in a new and ever changing land .,cultural,F
