,sent1,sent2,lemma,ground_truth
7700,"And because fortune had favored neither the prisoner nor the red haired captain , they would be each other 's undoing .","One did one 's best and if fortune smiled , there was a reward .",fortune,F
7701,"Various methods of pulsing , scanning , and displaying these sound waves are used to detect submarines , map ocean floors , and even communicate under water .",In this way you will be able to detect any obvious mistakes .,detect,T
7702,"Had the situation been reversed , had , for instance , England been the enemy in 1898 because of issues of concern chiefly to New England , there is little doubt that large numbers of Southerners would have happily put on their old Confederate uniforms to fight as allies of Britain .","Then they let out a bellow of anguish and rage and , cursing , screaming and hollering `` Garryowen '' ! they charged into the enemy like wild men .",enemy,T
7703,"Thus Burns 's `` My love is like a red , red rose '' and Hopkins ' `` The thunder-purple sea beach , plumed purple of thunder '' although clearly intelligible in content , hardly present ideas of the sort with which we are here concerned .","I asked Quasimodo recently how he accomplished this , and he replied that he had painted his model `` a beautiful shade of red and then had her breathe on the canvas '' , which was his typical tongue-in-cheek way of chiding me for my lack of sensitivity .",red,F
7704,"But the book is written around a somewhat dizzy cartoonist , and it has to be that way .","John Heffernan , playing Larry Larkin , the cartoonist , carries the show in marvelous fashion .",cartoonist,F
7705,"George W. Cable ( naturalized New Englander ) , writing in 1889 from `` Paradise Road , Northampton '' ( lovely symbolic name ) , agitated continuously the `` Southern question '' .","A Southerner married to a New Englander , I have lived for many years in a Connecticut commuting town with a high percentage of artists , writers , publicity men , and business executives of egghead tastes .",new_englander,F
7706,"Many aspects of civilization were not yet sufficiently crystallized to find expression , nor could the simple economic and social foundations of this world support a lofty structure .","A congregation survives only if it can sustain a socially homogeneous membership ; that is , when it can preserve economic integration .",economic,T
7707,"He breathed now with his mouth open , showing a whitely curving section of lower teeth ; he kept his eyes , with their puffed blurred lids , always lowered , though not , apparently , focusing .","Killpath peered through half closed lids at his reflection , thrust up his chin in a gesture of satisfaction and about-faced .",lid,F
7708,"Thus we do not score the number of bull's-eyes , and the random variable is not the number of successes .","For example , the marksman gets 5 shots , but we take his score to be the number of shots before his first bull's-eye , that is , 0 , 1 , 2 , 3 , 4 ( or 5 , if he gets no bull's-eye ) .",bull's_eye,F
7709,"With this purified conjugate the best staining procedure consisted of treating the sections with 1 : 10 dilution of * * f for 30 minutes , washing with PBS for 15 minutes , staining with * * f for 30 minutes , and washing with PBS for 15 minutes .",This specific fluorescence was readily distinguished from the light green nonspecific fluorescence in consecutive sections stained with 1 : 10 dilution of NS and * * f or with * * f alone .,dilution,F
7710,On the forward slope in front of his own post stretched two rows of barbed wire .,The side slopes were coated with fiberglas matting coated with asphalt to prevent erosion .,slope,T
7711,"He stood flat-footed in the box , but not very close to the plate now .",He got back into the batter's box and on the next pitch dropped into the dirt again .,batter's_box,F
7712,"There 's Gaetan d'Amours who is our newest Mr. Canada ; Jean-Paul Senesac , whose story appeared here two issues ago ; Jack Boissoneault , who was with us last month ; Charles Harve , who recently won the `` Most Muscular Man '' subdivision award in the Mr. Canada event ; and a host of others .",My host went over and stared out the window at his peacocks ; then he turned to me .,host,T
7713,There is little doubt that the warning system saved lives and reduced the damage .,"Also , he thought , I doubt if she could hit the side of a barn with a shotgun .",doubt,T
7714,All evening she was eloquent and pleased with herself .,"Not the noblest performance we have heard him play , or the most spacious , or even the most eloquent .",eloquent,T
7715,"His name is Praisegod Piepsam , and he is rather fully described as to his clothing and physiognomy in a way which relates him to a sinister type in the author 's repertory - he is a forerunner of those enigmatic strangers in `` Death in Venice '' , for example , who represent some combination of cadaver , exotic , and psychopomp .",Life has evolved from simple combinations of molecules in the sea to complex combinations in man .,combination,F
7716,"the suburbanite naturally calls a local rather than a central city number if both are listed in an advertisement , especially if the local call eliminates city sales tax .","There is some evidence that naturally occurring goitrogens may play a role in the development of goitre , particularly in Tasmania and Australia ( Clements and Wishart , 1956 ) .",naturally,T
7717,"`` I'm mad '' , shouted Payne , as he ran out into the hall .",The crowd staged its own mad scene in salvos of cheers and applause and finally a standing ovation as Miss Sutherland took curtain call after curtain call following a fantastic `` Mad Scene '' created on her own and with the help of the composer and the other performers .,mad,F
7718,The bacteria formed typical activated sludge floc .,It was found that the aerated lagoon was an activated sludge system rather than an oxidation pond .,activated,T
7719,"In their place came local variations within the common style - tentative , as it were , in Protogeometric products but truly distinct and sharply defined as the Geometric spirit developed .","It is characterized by the presence of incompletely developed secondary lobules ; well defined , but haphazardly arranged , interlobular septa and a thick , remarkably vascular pleura ( fig. 9 ) .",defined,F
7720,On some of the islands ' beaches the waves came in gently ; they were steepest on the shores facing the direction of the seaquake from which the waves had come .,"He saw the Starbird as she lay , her slender mast up and gently turning , its point describing constant languid circles against a cumulus sky .",gently,T
7721,"Note that the mass scale is one to two orders of magnitude greater than some previously used ; for example , Jacchia ( 1948 ) derived a scale of 0.15 g for a * * f , zero magnitude meteorite .",These estimates indicated that the quantum yield for the exchange of chlorine with liquid carbon tetrachloride at 65 ` is of the order of magnitude of unity .,order_of_magnitude,F
7722,"And if he is so scornful of the rights of states , why not advocate a different sort of constitution that he could more sincerely support ?",Many of them sincerely believe that the use of liquor in any form or in any degree is intrinsically evil and sinful .,sincerely,T
7723,"There was a blur just under my focus of vision , a crash ; the car 's far windshield panel turned into a silver web with a dark hole in the center .","Suddenly a treble auto horn tootley-toot-tootled , and , thumbing hopefully , I saw emergent in windshield flash : red lips , streaming silk of blonde hair and - ah , trembling confusion of hope , apprehension , despair - the leering face of old Herry .",windshield,T
7724,"Their kind created an American culture superior to any in the world , an industrial and technological culture which penetrated Russia as it did almost every corner of the earth without a nickel from the Federal treasury or a single governmental specialist to contrive directives or program a series of consultations of interested agencies .","There are hereby created in the Treasury of the United States ( 1 ) a special fund to be known as the Yugoslav Claims Fund ; and ( 2 ) such other special funds as may , in the discretion of the Secretary of the Treasury , be required each to be a claims fund to be known by the name of the foreign government which has entered into a settlement agreement with the Government of the United States as described in subsection ( a ) of section 4 of this Title .",treasury,T
7725,"He put his chin on his kneecap , stretching his neck like that of a turkey on a chopping block , and stared wordlessly at his sergeant .","The first thing every morning when she washed her face she could see the scar on her chin where he 'd cut her with a boot cleat , and maybe she saw him heaving it again , the dirty sock popping out as it flew .",chin,F
7726,Jewish identity was often confused with social and economic strivings .,"For example , in accordance with the fashion of the times , most transitional societies have announced economic development plans of varying numbers of years ; such is the mystique of planning that people expect that fulfillment of the plan will follow automatically upon its announcement .",economic,T
7727,`` Why not try another club '' ?,"The club that overcame the worst start in a comparable period to win the pennant was New York 's '51 Giants , who dropped 11 of their first 13 .",club,F
7728,"It made him a little sick , and he let go of her .","Start with the class standing in a circle , with weight on the right foot and the left extended a little way into the circle .",a_little,F
7729,Three different wavelengths of ultraviolet radiation are selected by the variable filters placed in front of the three mercury xenon lights which serve as the ultraviolet sources .,It seemed an almost impossible job for Miss Rogers to select 4 winners from the 46 Juniors entered .,select,F
7730,Greatest benefits have been associated with feeding low moisture corn in beef feeding programs .,"Homes and factories and schools and a big wide federal highway , instead of peaceful corn to rest your eyes on while you tried to rest your heart , while you tried not to look at the balloon and the bandstand and the uniforms and the flash of the instruments .",corn,F
7731,"He was fortunate , and proud .",Many English Catholics are proud of their Catholicism and know that they are in a new ascendancy .,proud,F
7732,"Microscopically , both kidneys showed many small cortical scars in which there was glomerular and interstitial fibrosis , tubular atrophy , and an infiltration of lymphocytes and plasma cells .","Microscopically , there was emphysema , fibrosis , and vascular congestion .",fibrosis,T
7733,"Alex 's instruction was rapid , for the doctor had to go off to the Rue Ecole de Medecine to hear more speeches with only time for one sip of wine to sustain him through them all .","After experimentation , Helva discovered that she could manipulate her diaphragmic unit to sustain tone .",sustain,F
7734,"Between the telephone and the wall plug there was sixty feet of cord , and when the conversation came to an end , Eugene carried the instrument with him the whole length of the apartment , to his bathroom , where it rang three more times while he was shaving and in the tub .",Here '' - She thrust a bundle of keys strung on a thick red cord into Sarah 's hand .,cord,T
7735,"In the budget message for 1959 , and again for 1960 , I recommended immediate repeal of section 601 of the Act of September 28 , 1951 ( 65 Stat. 365 ) .",Funds are also included in this budget to continue the equipping of the B-52 wings with the Hound Dog air-to-surface missile .,budget,F
7736,"The observed intensity of the radio emission of Venus is much higher than the expected thermal intensity , although the spectrum indicated by measurements at wave lengths near 3 cm and 10 cm is like that of a black body at about 600 ` K .",Radio observations of Venus and Jupiter have already supplied unexpected experimental data on the physical conditions of these planets .,venus,F
7737,"Since writing was practiced in the Aegean before the end of the century , we may hope that the details of tradition will now be occasionally useful .","He walked up to the lieutenant 's office , leaned wearily against the gun rack that housed four rifles and a gas gun nobody remembered having used and a submachine gun that was occasionally tried out on the Academy Range .",occasionally,F
7738,We are reporting these investigations here briefly because of their relevancy to problems of the study of apparently simple exchange reactions of chlorine and because the results furnish some information on the activation energy for abstraction of chlorine atoms from carbon tetrachloride .,Andy had no desire to linger himself but Hub reported that the mob outside was still large despite the efforts of the police to disperse them .,report,T
7739,"She brought the quirt down , slashing it across his cheek , and he tried to step back .",The girl tapped the quirt impatiently against her knee and glared at him .,quirt,F
7740,On one wall was the brass front of a row of mailboxes ; there were six apartments .,"The three Indian brass deities , though - Ganessa , Siva , and Krishna - are an altogether different cup of tea .",brass,T
7741,Here '' - She thrust a bundle of keys strung on a thick red cord into Sarah 's hand .,"The form was swathed in an army blanket , much patched , fastened at the neck with a cord .",cord,F
7742,"Clapping spurs to the bronc he set off at a sharp canter , with growing alarm .","Where their sharp edges seemed restless as sea waves thrusting themselves upward in angry motion , Papa-san sat glacier like , his smooth solidity , his very immobility defying all the turmoil about him .",sharp,F
7743,"Research at Fayette , Missouri on oxidation ponds has shown that the BOD in the treated effluent varied from 30 to 53 mg / l with loadings from 8 to 120 lb BOD / day / acre .",The increase in oxygen uptake rates from 1.2 to 2.6 mg / l / hr which followed an increase in rotor speed was believed to be related to resuspension of solids which had settled at the lower rotor speeds .,l,T
7744,"The chief , annoyed by these questions , knocks Voltaire down and shouts at him that he not only never went to any school , but never even learned how to read .",She mus n't annoy Gunny whose foal was due then too !,annoy,F
7745,Across the bay the Palisades were heavy in green timber ; their rock paths led down to the Hudson .,"This shelter could be built in regions where water or rock is close to the surface , making it impractical to build an underground shelter .",rock,F
7746,"In the light of the facts at hand , however , New York Central intends to pursue the objective of helping to create a healthy two system eastern railroad structure in the public interest `` .",( An enterprising teacher or parent could start training a healthy child at the age of seven days .,healthy,T
7747,"The gymnast must develop strength , flexibility , coordination , timing , rhythm , courage , discipline , persistence and the desire for perfection .",Russia 's young gymnasts have studied dance before having the rigorous training on apparatus .,gymnast,F
7748,But to go from here to the belief that those more sensitive to metaphor and language will also be more sensitive to personal differences is too great an inferential leap .,"This is what was meant , above , by describing history as inferential .",inferential,F
7749,"if such person is deceased or is under a legal disability , payment shall be made to his legal representative :",Any and all payments required to be made by the Secretary of the Treasury under this title pursuant to any award made by the Commission to the Government of the United States shall be covered into the Treasury to the credit of miscellaneous receipts .,payment,F
7750,"Joseph Jastrow , the younger son of the distinguished rabbi , Marcus Jastrow , was a friendly , round-faced fellow with a little mustache , whose field was psychology , and who was also a punster and a jolly tease .","Fortunately , the embarrassing questions raised by objects do not need to be answered , or we would all have to go sleep in the open fields .",field,T
7751,"A word taken in its dictionary meaning , a photographic image of a recognizable object , the mere picturing of a `` scene '' tends to lose experiential vividness and to connote such conventional abstractions as to invite neutral reception without the incitement of value feelings .",Radio reception is cut down by the shielding necessary to keep out radiation .,reception,F
7752,"An exhibition of Evelyn Cibula 's paintings will open with a reception Nov. 5 at the Evanston Community center , 828 Davis st. .","The riotous onrush of industrialism after the War for Southern Independence and the general secular drift to the Religion of Humanity , however , prepared the way for a reception of the French Revolution 's socialistic offspring of one sort of another .",reception,T
7753,"When the power of the latter was made both limited and explicit - when norms were clarified and made more precise and the creation of new norms was placed exclusively in parliamentary hands - two purposes were served : Government was made subservient to an institutionalized popular will , and law became a rational system for implementing that will , for serving conscious goals , for embodying the `` public policy '' .","This seems somewhat shortsighted since if the absolute educational qualifications for membership which the organizations profess are ever enforced , the educator will have the molding of the entire profession in his hands .",hands,T
7754,"They 've got a big vulture from Tanganika at the zoo here , with a wife for him , too , very rare birds , both of them , the only Vulturidae of their species outside Africa .","Whether any of us remain in it long will depend on what happens as a result of the technological and economic revolutions now going on in the countries of Asia and Africa , and also of course on how long the cold war remains cold .",africa,F
7755,"When I question them as to what they mean by concepts like liberty and democracy , I find that they fall into two categories : the simpler ones who have simply accepted the shibboleths of their faith without analysis ; and the intelligent , cynical ones who scornfully reply that these things do n't count any more in the world of to-day .","As for states ' rights , they have never counted in the thinking of my liberal friends except as irritations of a minor and immoral nature which exist now only as anachronisms .",count,T
7756,We may thus trace the notion of individual autonomy from its manifestation in religious practice and theological reflection through practical politics and political theory into literature and the arts .,It is through such reflection that literature approaches philosophy .,reflection,F
7757,"You should have a couple of training partners to stand by when you make your first experiments , just for safety .","Keegan , a 6 - foot - 3 - inch 158 - pounder , gave up the Orioles ' last two safeties over the final three frames , escaping a load of trouble in the ninth when the Birds threatened but failed to tally .",safety,T
7758,"In the street , walking as quickly as he could , Stanley Gilborn was a lone figure .","The hands and their bosses saw him as a lone knight of the range , waging a dedicated crusade against a lawless new society that was threatening a beloved way of life .",lone,T
7759,"The valley lay clear , and open to the eye , right up to the sharp limbed line of gaunt , scoured hills that formed the horizon twenty miles ahead .","Scotty murmured , `` No , thanks '' , so softly his father had to bend his gaunt height across the table and turn a round brown ear to him .",gaunt,F
7760,"Eugene was in his pajamas and dressing gown , and on his large feet he wore yellow Turkish slippers that turned up at the toes .","Authorities hesitate to quote exact figures , however , believing that any sum they come up with is only a surface manifestation - turned up by their inevitably limited policing - of the real loot of the medical racketeer .",turn_up,F
7761,"Other items on the agenda during the meetings , which are expected to continue through Saturday , concern television , rules changes , professional football 's hall of fame , players ' benefits and constitutional amendments .","During his college career , Dr. Clark was captain of his basketball team and was a football letterman .",football,T
7762,"When some question arises in the medical field concerning cancer , for instance , we do not turn to free and open discussion as in a political campaign .",In the field of the social sciences a considerable fund of tested knowledge has been accumulated that can be used to good advantage .,field,T
7763,"It may have been true for all I know , because his glasses were like the bottoms of milk bottles , but it did n't prevent the paintings from being exciting .","He sucked in his breath and kept quiet while Killpath laid down the sheet again , wound the gold wire stems of his glasses around his ears and then , eying the report as it lay before him on the desk , intoned , `` Acting Lieutenant Gunnar Matson one failed to see that the station keeper was properly relieved two absented himself throughout the entire watch without checking on the station 's activities or the whereabouts of his section sergeants three permitted members of the Homicide Detail of the Inspector's Bureau to arrogate for their own convenience a patrolman who was thereby prevented from carrying on his proper assignment four failed to notify the station commander Acting Captain O. T. Killpath of a homicide occurring in the district five frequented extralegal establishments known as after-hours spots for purposes of an unofficial and purportedly social nature and six '' - he leaned back and peeled off his glasses `` - failed to co-operate with the Acting Captain by returning promptly when so ordered .",glasses,T
7764,"The truth is , however , that when Mel Chandler first reported to the regiment the only steed he had ever ridden was a swivel chair and the only weapon he had ever wielded was a pencil .",It was not opposed to either justice or morality ; it merely wished to minimize subjective views of officials who wielded public authority .,wield,T
7765,The submission of detailed plans would place the issues before the court more readily than would discussion of divestiture or disenfranchisement in the abstract .,"In this model , we abstract from all non wage sources of cost changes , so that the `` public limit price '' only rises as the wage rate rises .",abstract,F
7766,A horse screamed as it twisted from side to side in a frenzy .,The critics literally screamed their indignation .,scream,F
7767,"Hino was the fourth son of an elderly farmer who lived on the coast , in Chiba , and divided his life between the land and the sea , supplementing the marginal livelihood on his small rented farm with seasonal employment on a fishing boat .","He ate what he felt like , slept as much or as little as he pleased , and moved about the draughty rooms of the house , when he was not in bed , with slow dubious steps , like an elderly tourist in a cathedral .",elderly,F
7768,"But fathers often addressed communications to their small children ; and these , full of homely advice , are among the most human and revealing of Civil War letters .",Now a little flush came on her pale homely face and enchantment in her eyes .,homely,F
7769,"Mrs. Podger had obligingly pushed things around on the porch to make room for it , and there it was , slung in a vine-shaded corner , the night breeze rippling its fringe with a slow , caressing movement .","Mike liked having light up through the ripples ; it was a goodness , beauty .",ripple,F
7770,"The man wore a vest and a tie , the woman had on a dark green dress and three strands of pearls .","When Felix first opened the door on it , all these shades were tightly drawn and the whole studio was as dark as night .",dark,F
7771,There is a small well in the top in which the fluid or paste to be tested is placed .,"It was for this reason , and no other that I can see , that in September 1912 , Braque took the radical and revolutionary step of pasting actual pieces of imitation woodgrain wallpaper to a drawing on paper , instead of trying to simulate its texture in paint .",paste,F
7772,"As a boy Roy Mason began the long process of extracting the goodness of the out-of-doors , its tang of weather , its change of seasons , its variable moods .","A relatively simple switching arrangement reverses the cycle so that the machine literally runs backward , and the heat is extracted from outdoor air and turned indoors .",extract,F
7773,"While Communists were undermining United Nations efforts to rescue the Congo from chaos , two other Communist offensives stirred the Eisenhower Administration into emergency conferences and serious decisions .","Cover ; simmer 15 minutes , stirring occasionally , until sauce is of desired consistency .",stir,F
7774,"At the end of the room there was a desk heaped with papers , and she began to riffle these , making sighs and and noises of girlish exasperation .","He straightened up , ready to vent his exasperation , then grew afraid .",exasperation,F
7775,"Their secondary hero is another pro , Willie Chisholm , who drank his lunch during another Open and tried to blast his way out of a rock strewn gully .",Two martinis for lunch - that was the trouble .,lunch,T
7776,"A recent newspaper report said there were five Negroes in the 1960 graduating class of nearly one thousand at Yale ; that is , about one-half of one per cent , which looks pretty `` tokenish '' to me , especially in an institution which professes to be `` national '' .","As a theologian in the group pointed out , a professional was , before the modern period of technical specialization , one who `` professed '' to be a bearer and critic of his culture in the use of his particular skills .",profess,T
7777,Man has the experience of being helpfully allied with what he cannot fully understand ; he is a coordinate part of all of the mysterious energy and being and movement .,"The events of the last quarter of an hour , mysterious to any bird accustomed only to the predictable life of coop and barnyard , had overcome the doctor 's hen and she gave out a series of cackly wails , perhaps mourning her nest , but briefly enjoyed .",mysterious,F
7778,"In ever greater numbers , factories are locating in the suburbs or in `` industrial parks '' removed from the city 's political jurisdiction .","Just as the suburban factory may be more convenient than the downtown plant to the worker with a car , the trip to the shopping center may seem far easier than to the downtown department store , though both are the same distance from home .",factory,T
7779,"After the first two murders , the warning notes were rarely ignored .","Of course , it goes without saying that no student of ideas can justifiably ignore the contemporary scene .",ignore,F
7780,Great stress is placed on the role that the monitoring of information sending plays in maintaining the effectiveness of the network .,"By monitoring , we mean some system of control over the types of information sent from the various centers .",monitoring,T
7781,"Perhaps , the psychological barriers that had prevented her from conceiving Hal 's child would no longer be present .",This is no longer a way of life for the bearded logger and the wandering cowboy .,no_longer,T
7782,Any failure to file timely returns or make estimated tax payments when due must be fully explained .,"( 1 ) your reasons for requesting an extension , ( 2 ) whether you filed timely income tax returns for the 3 preceding years , and ( 3 ) whether you were required to file an estimated return for the year , and if so whether you did file and have paid the estimated tax payments on or before the due dates .",timely,T
7783,At Hilo large numbers of people ran out to inspect the amazing spectacle of the denuded beach .,"After selecting a sheet and inspecting it for flaws ( even the best sometimes has foreign ' nubbins ' on its surface ) , I sponge it thoroughly on both sides with clean , cold water .",inspect,T
7784,From under the shapeless huddle of blanket the feet moved in the mud .,"Inside , as soon as Mr. Skopas had disclosed - in a hoarse whisper - the detective 's errand , his family gathered in a huddle , forming a mass of dark flesh on and around a brocaded sofa which stood at one side of a baroque fireplace .",huddle,F
7785,"The second choice , full testing , has become even more risky just because the current Soviet tests have already dangerously contaminated the atmosphere .",They 're contaminating the earth 's atmosphere including their own via mighty megaton bombs but their own peasants still do n't know about it !,contaminate,F
7786,"Because negative pressure dialysis gave better recovery of proteins , permitted detection of proteins concentrated from very dilute solutions and was a gentler procedure , it was used in all but the earliest experiments .",One of the most gratifying applications of an important technique of submarine detection is in the exploration of the human body .,detection,T
7787,"He gave Abel a quick glance and moved closer to the wheel , hugging it to him , and Abel caught this briefest of allusions to guilt .",The calmness and detachment of his tone suggested unawareness of how implicit was his own guilt in the words he had used to defend Cromwell .,guilt,F
7788,"Because of the size of the areas it covers , the pasted paper establishes undepicted flatness bodily , as more than an indication or sign .","Instead of isolating the literal flatness by specifying and circumscribing it , the pasted paper or cloth releases and spreads it , and the artist seems to have nothing left but this undepicted flatness with which to finish as well as start his picture .",undepicted,T
7789,An ordinary sea wave is rarely more than a few hundred feet long from crest to crest - no longer than 320 feet in the Atlantic or 1000 feet in the Pacific .,"Since the 1946 disaster there have been 15 tsunami in the Pacific , but only one was of any consequence .",pacific,F
7790,"There are , he thought , so few true means of forgetfulness in this life that why should he shun the medicine even when the medicine seemed , as it did , a little crude ?",Maybe one could be startled into forgetfulness .,forgetfulness,T
7791,and Phil banged his locker door shut and spun around .,"She could not count the times Herman had rapped on the door , just a couple of bangs that shook the whole damned closet and might , someday , break away the pipe connections from the wall .",bang,F
7792,"Starting with the room completely blacked out , as it was when we came in , he unerringly fixed things so that the whole place was bathed in the maximum of light without at any point admitting even so much as a crack of glare .","A carbine cracked more loudly , and a slug clipped fragments from the brush off at one side .",crack,T
7793,One white hand poised a stick above his desk .,"It landed on Roberts ' sprawled right thigh , poised precariously , then slid off to the ground .",poise,F
7794,He was like a mean horse to come at from the rear .,"The Congolese were clamoring for their independence , even though most were unsure what it meant ; and in Brussels , street crowds shouted , `` Pas une goutte de sang ! ''",mean,F
7795,"He sucked in his breath and kept quiet while Killpath laid down the sheet again , wound the gold wire stems of his glasses around his ears and then , eying the report as it lay before him on the desk , intoned , `` Acting Lieutenant Gunnar Matson one failed to see that the station keeper was properly relieved two absented himself throughout the entire watch without checking on the station 's activities or the whereabouts of his section sergeants three permitted members of the Homicide Detail of the Inspector's Bureau to arrogate for their own convenience a patrolman who was thereby prevented from carrying on his proper assignment four failed to notify the station commander Acting Captain O. T. Killpath of a homicide occurring in the district five frequented extralegal establishments known as after-hours spots for purposes of an unofficial and purportedly social nature and six '' - he leaned back and peeled off his glasses `` - failed to co-operate with the Acting Captain by returning promptly when so ordered .","When the house was about half consumed , his comrade ran to the door and threw up his hands , declaring repeatedly that he did not know the whereabouts of Manuel .",whereabouts,T
7796,"If you are an income beneficiary of property held in trust or an heir , legatee , or devisee , you may deduct allowable depreciation and depletion , if not deductible by the estate or trust .","If you are a life tenant , you deduct allowable depreciation and depletion .",depletion,T
7797,"The infamous Wansee Conference called by Heydrich in January 1942 , to organize the material and technical means to put to death the eleven million Jews spread throughout the nations of Europe , was attended by representatives of major organs of the German state , including the Reich Minister of the Interior , the State Secretary in charge of the Four Year Plan , the Reich Minister of Justice , the Under Secretary of Foreign Affairs .",Production specialists in SBA regional offices are available to help individual small business concerns with technical production problems .,technical,F
7798,"The two ratings yield a correlation of + .04 , which is not significantly different from zero ; therefore , we have measured two different characteristics .",The lower portion provides a rating at any stage between infancy and adulthood .,rating,F
7799,"Maybe he only intended to scare the blackmailer , whoever he was , in which case an unloaded gun would be good enough .","The older men would be there at noon , and maybe rest for a time before they took their guns off to the creek or drove down the road towards town .",gun,T
7800,Zinc cadmium sulfide in particles of 2 microns in size were disseminated .,"`` The faithful should be excited to the reading of the Holy Scriptures : For these are the most abundant sources which ought to be left open to everyone , to draw from them purity of morals and of doctrine , to eradicate errors which are so widely disseminated in these corrupt times '' .",disseminate,F
7801,Detailed studies of the plan were well underway .,"By means of charts showing wave travel times and depths in the ocean at various locations , it is possible to estimate the rate of approach and probable time of arrival at Hawaii of a tsunami getting under way at any spot in the Pacific .",underway,T
7802,"Upon the expiration of a period deemed adequate for demonstration purposes for each plant , but not to exceed such twelve year period , the Secretary shall proceed as promptly as practicable to dispose of any plants so constructed by sale to the highest bidder , or as may otherwise be directed by Act of Congress .","The authority of the Secretary of the Interior under this joint resolution to construct , operate , and maintain demonstration plants shall terminate upon the expiration of twelve years after the date on which this joint resolution is approved .",expiration,F
7803,"For the most part , this discussion will be confined to results obtained since the introduction of the reference standard .",The introduction of the United States Pharmacopoeia reference standard in 1952 and the redefinition and equating of the USP and international units of thyroid stimulating activity have made it possible to compare results published by different investigators since that time .,introduction,T
7804,The curious relationship between Holmes and Scotland Yard provides an important clue to the deeper significance of his eccentric behavior .,"The foregoing , aided by several clues I 'll withhold to keep you on your toes , will pursue you with a tenacity worthy of Inspector Javert , but before they close in , gird yourselves , I repeat , for a vengeance infinitely more pitiless .",clue,F
7805,"Independent art schools granting degrees must , naturally , follow this with academic accreditation by the appropriate regional group .",An analysis of the election falls naturally in four parts .,naturally,F
7806,The family estate was situated near Vadstena on Lake Va ^ ttern in south central Sweden .,"The road leading south along the river was shaded with old trees , and in the moonlight the silvery landscape was like a setting for trolls and wood gods rather than the Hudson River Valley of his boyhood memories .",south,F
7807,"An examination of some forty catalogs of schools offering courses in interior design , for the most part schools accredited by membership in the National Association of Schools of Art , and a further `` on the spot '' inspection of a number of schools , show their courses adhere pretty closely to the recommendations .","It was predicted that Kohnstamm-negative subjects would adhere to more liberal , concretistic reports of what the ambiguous figure `` looked like '' as reflecting their hesitancy about taking chances .",adhere,F
7808,"Whereas , John Brown has cheerfully risked his life in endeavoring to deliver those who are denied all rights and is this day doomed to suffer death for his efforts in behalf of those who have no helper :","Payments made pursuant to this Title shall be made only to the person or persons on behalf of whom the award is made , except that -",behalf,T
7809,"Rumors of the offer Tom Horn had made at the Stockgrowers' Association meeting had leaked out by then , and as a grand jury investigation of the murder got underway , the prosecuting attorney , a Colonel Baird , ordered that the tall stock detective be summoned for questioning .",Rumor of a big battle spread like a grassfire up the valley .,rumor,F
7810,Joel went to the crest of a hill behind the house and lit an enormous victory bonfire to celebrate .,An ordinary sea wave is rarely more than a few hundred feet long from crest to crest - no longer than 320 feet in the Atlantic or 1000 feet in the Pacific .,crest,F
7811,And with Progressivism the Religion of Humanity was replacing what Gabriel called Christian supernaturalism .,"He specifies , `` In the middle period of the Nineteenth Century it was colored by Christian supernaturalism , in the Twentieth Century it was affected by naturalism .",supernaturalism,T
7812,"Far away , standing before a curtained window in the study room , was his father , hands tucked under his coattails , and staring into the dark church .",Figures seemed to crouch in the surrounding dark ; in the distance he saw a band of men who seemed to advance and retreat even as he watched .,dark,F
7813,"The upshot of the evening was that I got the address of Pendleton 's studio - or rather , of the studio in which he gave his classes , for he did n't work there himself - and joined the life class , which met every Tuesday and Thursday from ten to twelve in the morning .","At twelve minutes after five on the morning of Wednesday , April 18 , 1906 , San Francisco was shaken by a severe earthquake .",twelve,F
7814,"Mr. Speaker , in my latest newsletter to my constituents I urged the imposition of a naval blockade of Cuba as the only effective method of preventing continued Soviet armaments from coming into the Western Hemisphere in violation of the Monroe Doctrine .",Among the chief victims of such an ill conceived imposition would be religion itself .,imposition,F
7815,"A news item described the launching of a ship : `` Completing the ceremony , the beautiful movie star smashed a bottle of champagne over her stern as she slid gracefully down the ways into the sea '' .","Reversing it , he smashed the butt down on Frederick Seward 's head , over and over again .",smash,T
7816,Then pour water or light oil from a graduated beaker into the chamber to fill the chamber to its gasket surface .,"It poured out of him like an electric current , a feeling that the muscles and nerves of his fine drawn body were coiling for action , and that that action would be all that he anticipated .",pour,F
7817,"The electoral procedure prevented the ready identification of party affiliation , but all vitally interested parties , including the government itself , were busily engaged in determining the party identifications of all successful candidates the month following the elections .","There were three major administrative tasks : the fixing of electoral districts , the registration of voters and the registration of candidates .",electoral,T
7818,An ordinary sea wave is rarely more than a few hundred feet long from crest to crest - no longer than 320 feet in the Atlantic or 1000 feet in the Pacific .,"Liter quantities of Mallinckrodt , low sulfur , reagent grade carbon tetrachloride were saturated with * * f and * * f and illuminated for about 50 hours with a 1000 watt tungsten lamp at a distance of a few inches .",1000,T
7819,"Worry had a great deal to do with it ; Stuart had been laid off at the produce company and had to go back to sitting in his father 's office , taking what salary his father could hand out to him .","Since Mr. Clark believes firmly that the chewing of hard foods helps develop healthy gums and teeth , raw vegetables and raw whole-wheat grains are handed out with fresh fruit and whole-wheat cookies at snack time in the afternoons .",hand_out,F
